1,,,,,,,,,,,,,,,,
Raissa Azaria - 2502005805,,,,Individual,M1,,M2,,M3,,,Centroid,,,X,Y
Individual,X,Y,,,1,10,5,8,9,2,,"M1 = (1/1(1)), (1/1(5))",,,1,5
1,1,5,,1,5,,5,,8.544003745,,,"M2 = (1/4(1+5+4+4)), (1/4(2+8+8+9))",,,3.5,6.75
2,1,2,,2,8,,7.211102551,,8,,,"M3 = (1/3(8+8+2)), (1/3(3+2+1))",,,6,2
3,5,8,,3,4.472135955,,0,,7.211102551,,,,,,,
4,4,8,,4,3.605551275,,1,,7.810249676,,,,,,,
5,4,9,,5,3.16227766,,1.414213562,,8.602325267,,,,,,,
6,8,3,,6,9.899494937,,5.830951895,,1.414213562,,,,,,,
7,8,2,,7,10.63014581,,6.708203932,,1,,,,,,,
8,2,1,,8,9.055385138,,7.615773106,,7.071067812,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Individual,M1,,M2,,M3,,,Centroid,,,X,Y
,,,,,1,5,3.5,6.75,6,2,,"M1 = (1/2(1+1)), (1/2(5+2))",,,1,3.5
,,,,1,0,,3.051638904,,5.830951895,,,"M2 = (1/3(5+4+4)), (1/3(8+8+9))",,,4.333333333,8.333333333
,,,,2,3,,5.367727638,,5,,,"M3 = (1/3(8+8+2)), (1/3(3+2+1))",,,6,2
,,,,3,5,,1.952562419,,6.08276253,,,,,,,
,,,,4,4.242640687,,1.346291202,,6.32455532,,,,,,,
,,,,5,5,,2.304886114,,7.280109889,,,,,,,
,,,,6,7.280109889,,5.857687257,,2.236067977,,,,,,,
,,,,7,7.615773106,,6.543126164,,2,,,,,,,
,,,,8,4.123105626,,5.942432162,,4.123105626,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Individual,M1,,M2,,M3,,,Centroid,,,X,Y
,,,,,1,3.5,4.333333333,8.333333333,6,2,,"M1 = (1/3(1+1+2)), (1/3(5+2+1))",,,1.333333333,2.666666667
,,,,1,1.5,,4.714045208,,5.830951895,,,"M2 = (1/3(5+4+4)), (1/3(8+8+9))",,,4.333333333,8.333333333
,,,,2,1.5,,7.156970185,,5,,,"M3 = (1/2(8+8)), (1/3(3+2))",,,8,2.5
,,,,3,6.020797289,,0.745355993,,6.08276253,,,,,,,
,,,,4,5.408326913,,0.471404521,,6.32455532,,,,,,,
,,,,5,6.264982043,,0.745355993,,7.280109889,,,,,,,
,,,,6,7.017834424,,6.472162613,,2.236067977,,,,,,,
,,,,7,7.158910532,,7.318166133,,2,,,,,,,
,,,,8,2.692582404,,7.695597587,,4.123105626,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Individual,M1,,M2,,M3,,,Individual,Cluster,,,
,,,,,1.333333333,2.666666667,4.333333333,8.333333333,8,2.5,,,,,,
,,,,1,2.357022604,,4.714045208,,7.433034374,,,1,Centroid 1,,,
,,,,2,0.745355993,,7.156970185,,7.017834424,,,2,Centroid 1,,,
,,,,3,6.472162613,,0.745355993,,6.264982043,,,3,Centroid 2,,,
,,,,4,5.96284794,,0.471404521,,6.800735254,,,4,Centroid 2,,,
,,,,5,6.871842709,,0.745355993,,7.632168761,,,5,Centroid 2,,,
,,,,6,6.674994798,,6.472162613,,0.5,,,6,Centroid 3,,,
,,,,7,6.699917081,,7.318166133,,0.5,,,7,Centroid 3,,,
,,,,8,1.795054936,,7.695597587,,6.184658438,,,8,Centroid 1,,,
